OTU	SRR10488720	SRR10488721	SRR10488722	SRR10488723	SRR10488724	SRR10488725	SRR10488726	SRR10488727	SRR10488728	SRR10488729	SRR10488730	SRR10488731	SRR10488732	SRR10488733	SRR10488734	SRR10488735	SRR10488736	SRR10488737	SRR10488738	SRR10488739	SRR10488740	SRR10488741	SRR10488742	SRR10488743	SRR10488744	SRR10488745	SRR10488746	SRR10488747	SRR10488748	SRR10488749	SRR10488750	SRR10488751	SRR10488752	SRR10488753	SRR10488754	SRR10488755	SRR10488756	SRR10488757	SRR10488758	SRR10488759	SRR10488760	SRR10488761	SRR10488762	SRR10488763	SRR10488764	SRR10488765	SRR10488766	SRR10488767	SRR10488768	SRR10488769	SRR10488770	SRR10488771	SRR10488772	SRR10488773	SRR10488774	SRR10488775	SRR10488776	SRR10488777	SRR10488778	SRR10488779	SRR10488780	SRR10488781	SRR10488782	SRR10488783	SRR10488784	SRR10488785	SRR10488786	SRR8589830	SRR8589831	SRR8589832	SRR8589833	SRR8589834	SRR8589835	SRR8589836	SRR8589837	SRR8589838	SRR8589839	SRR8589857	SRR8589858	SRR8589859	SRR8589860	SRR8589861	SRR8589862	SRR8589863	SRR8589864	SRR8589865	SRR8589866	SRR8589867	SRR8589868	SRR8589869	SRR8589870	SRR8589871	SRR8589872	SRR8589873	SRR8589874
OTU_1027	0	4	0	0	0	0	0	0	0	0	0	0	0	0	6	7	0	106	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1028	0	1	0	0	0	24	0	0	0	0	0	0	4	0	12	10	0	0	0	0	0	18	0	3	0	0	0	1	12	2	0	15	0	5	0	0	0	2	3	0	0	0	0	0	1	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1029	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	11	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	26	0	1	0	0	334	263	438	0	0	39	8	1	235	176	29	5	26	51	25	120	304	127	124	305	278
OTU_1030	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1031	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1032	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1033	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1034	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	26	70	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1035	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	182
