"X","ROOT","MAIN.GENOME","DOMAIN","KINGDOM","SUPER.PHYLUM","PHYLUM","CLASS","ORDER","FAMILY","GENUS","SPECIES"
"OTU_718","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Proteobacteria superphylum"," Proteobacteria"," Alphaproteobacteria","Unclassified_Alphaproteobacteria","Unclassified_Alphaproteobacteria","Unclassified_Alphaproteobacteria","Unclassified_Alphaproteobacteria"
"OTU_719","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," FCB group"," Cloacimonadota"," Cloacimonadia","Unclassified_Cloacimonadia","Unclassified_Cloacimonadia","Unclassified_Cloacimonadia","Unclassified_Cloacimonadia"
"OTU_720","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," PVC group (Planctobacteria)"," Planctomycetota"," Phycisphaerae"," CCM11a","Unclassified_CCM11a","Unclassified_CCM11a","Unclassified_CCM11a"
"OTU_721","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Proteobacteria superphylum"," Proteobacteria"," Alphaproteobacteria"," Rhizobiales"," Beijerinckiaceae"," 1174-901-12","Unclassified_1174-901-12"
"OTU_722","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Hydrogenedentes superphylum"," Hydrogenedentes"," Hydrogenedentia"," Hydrogenedentiales"," Hydrogenedensaceae","Unclassified_Hydrogenedensaceae","Unclassified_Hydrogenedensaceae"
"OTU_723","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Acidobacteria superphylum"," Acidobacteriota"," Holophagae"," Acanthopleuribacterales"," Acanthopleuribacteraceae","Unclassified_Acanthopleuribacteraceae","Unclassified_Acanthopleuribacteraceae"
"OTU_724","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," FCB group"," Bacteroidota"," Rhodothermia"," Rhodothermales"," Rhodothermaceae"," Rhodothermus","Unclassified_Rhodothermus"
"OTU_725","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Terrabacteria"," Actinobacteriota"," Actinobacteria","Unclassified_Actinobacteria","Unclassified_Actinobacteria","Unclassified_Actinobacteria","Unclassified_Actinobacteria"
"OTU_727","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Proteobacteria superphylum"," Bdellovibrionota"," Oligoflexia"," 0319-6G20","Unclassified_0319-6G20","Unclassified_0319-6G20","Unclassified_0319-6G20"
"OTU_728","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Proteobacteria superphylum"," Myxococcota"," Polyangia"," Haliangiales"," Haliangiaceae"," Haliangium","Unclassified_Haliangium"
"OTU_729","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Terrabacteria"," Gracilibacteria phylum incertae sedis"," Gracilibacteria","Unclassified_Gracilibacteria","Unclassified_Gracilibacteria","Unclassified_Gracilibacteria","Unclassified_Gracilibacteria"
