# Name,SeqName,Depth,Core
Blank_S2,Blank_S2,B,B
CB06_blnk_70,CB06_blnk_70,B,B
CB08_blnk_66,CB08_blnk_66,B,B
CB08_blnk_67,CB08_blnk_67,B,B
CB08_blnk_68,CB08_blnk_68,B,B
CB10_blnk_86,CB10_blnk_86,B,B
CB11_blnk_20,CB11_blnk_20,B,B
CB11_blnk_46,CB11_blnk_46,B,B
CB14_blnk_94,CB14_blnk_94,B,B
CB14_blnk_95,CB14_blnk_95,B,B
CB14_blnk_96,CB14_blnk_96,B,B
CB15_blnk_21,CB15_blnk_21,B,B
CB15_blnk_22,CB15_blnk_22,B,B
CB15_blnk_81,CB15_blnk_81,B,B
CB15_blnk_82,CB15_blnk_82,B,B
CB15_blnk_94,CB15_blnk_94,B,B
GS19_GC10_007_E1_S1,GS19_GC10_007_E1_S1,7,17
GS19_GC10_008_E1_S1,GS19_GC10_008_E1_S1,R,17
GS19_GC10_008_E1_S2,GS19_GC10_008_E1_S2,R,17
GS19_GC10_008_E2_S1,GS19_GC10_008_E2_S1,8,17
GS19_GC10_009_E1_S1,GS19_GC10_009_E1_S1,R,17
GS19_GC10_009_E2_S1,GS19_GC10_009_E2_S1,9,17
GS19_GC10_010_E1_S1,GS19_GC10_010_E1_S1,10,17
GS19_GC10_011_E1_S1,GS19_GC10_011_E1_S1,11,17
GS19_GC10_012_E1_S1,GS19_GC10_012_E1_S1,12,17
GS19_GC10_013_E1_S1,GS19_GC10_013_E1_S1,13,17
GS19_GC10_014_E1_S1,GS19_GC10_014_E1_S1,14,17
GS19_GC10_015_E1_S1,GS19_GC10_015_E1_S1,R,17
GS19_GC10_015_E1_S2,GS19_GC10_015_E1_S2,15,17
GS19_GC10_016_E1_S1,GS19_GC10_016_E1_S1,R,17
GS19_GC10_016_E1_S2,GS19_GC10_016_E1_S2,16,17
GS19_GC10_017_E1_S1,GS19_GC10_017_E1_S1,R,17
GS19_GC10_017_E2_S1,GS19_GC10_017_E2_S1,17,17
GS19_GC10_018_E1_S1,GS19_GC10_018_E1_S1,18,17
GS19_GC10_019_E1_S1,GS19_GC10_019_E1_S1,R,17
GS19_GC10_019_E1_S2,GS19_GC10_019_E1_S2,19,17
GS19_GC10_019_E2_S1,GS19_GC10_019_E2_S1,R,R
GS19_GC10_020_E1_S1,GS19_GC10_020_E1_S1,20,17
GS19_GC10_021_E1_S1,GS19_GC10_021_E1_S1,21,17
GS19_GC10_022_E1_S1,GS19_GC10_022_E1_S1,22,17
GS19_GC10_023_E1_S1,GS19_GC10_023_E1_S1,23,17
GS19_GC10_024_E1_S1,GS19_GC10_024_E1_S1,24,17
GS19_GC10_025_E1_S1,GS19_GC10_025_E1_S1,25,17
GS19_GC10_026_E1_S1,GS19_GC10_026_E1_S1,R,R
GS19_GC10_026_E1_S2,GS19_GC10_026_E1_S2,26,17
GS19_GC10_027_E1_S1,GS19_GC10_027_E1_S1,27,17
GS19_GC10_028_E1_S1,GS19_GC10_028_E1_S1,28,17
GS19_GC10_028_E2_S1,GS19_GC10_028_E2_S1,R,17
GS19_GC10_029_E1_S1,GS19_GC10_029_E1_S1,29,17
