Name,SeqName,Depth,Core,qPCR_bac,qPCR_arch,qPCR_proka,qPCR_NA,OxygenDepth,Fe_abundant,Location
Blank_S2,Blank_S2,B,B,NA,NA,NA,TRUE,nan,nan,nan
CB06_blnk_70,CB06_blnk_70,B,B,NA,NA,NA,TRUE,nan,nan,nan
CB08_blnk_66,CB08_blnk_66,B,B,NA,NA,NA,TRUE,nan,nan,nan
CB08_blnk_67,CB08_blnk_67,B,B,NA,NA,NA,TRUE,nan,nan,nan
CB08_blnk_68,CB08_blnk_68,B,B,NA,NA,NA,TRUE,nan,nan,nan
CB10_blnk_86,CB10_blnk_86,B,B,NA,NA,NA,TRUE,nan,nan,nan
CB11_blnk_20,CB11_blnk_20,B,B,NA,NA,NA,TRUE,nan,nan,nan
CB11_blnk_46,CB11_blnk_46,B,B,NA,NA,NA,TRUE,nan,nan,nan
CB14_blnk_94,CB14_blnk_94,B,B,NA,NA,NA,TRUE,nan,nan,nan
CB14_blnk_95,CB14_blnk_95,B,B,NA,NA,NA,TRUE,nan,nan,nan
CB14_blnk_96,CB14_blnk_96,B,B,NA,NA,NA,TRUE,nan,nan,nan
CB15_blnk_21,CB15_blnk_21,B,B,NA,NA,NA,TRUE,nan,nan,nan
CB15_blnk_22,CB15_blnk_22,B,B,NA,NA,NA,TRUE,nan,nan,nan
CB15_blnk_81,CB15_blnk_81,B,B,NA,NA,NA,TRUE,nan,nan,nan
CB15_blnk_82,CB15_blnk_82,B,B,NA,NA,NA,TRUE,nan,nan,nan
GS14_GC08_160,GS14_GC08_57,160,5,37283.90808105,2299.9598185,39583.8678995768,FALSE,97,No,AMOR
GS14_GC08_190,GS14_GC08_58,190,5,261494.40917969,200,261694.409179687,FALSE,97,No,AMOR
GS14_GC08_220,GS14_GC08_59,220,5,11694661.71875,266373.3886719,11961035.1074219,FALSE,97,No,AMOR
GS14_GC08_250,GS14_GC08_60,250,5,14795757.8125,291846.875,15087604.6875,FALSE,97,No,AMOR
GS14_GC08_280,GS14_GC08_61,280,5,370328.07617188,200,370528.076171875,FALSE,97,No,AMOR
GS14_GC08_292,GS14_GC08_62,292,5,487532.32421875,200,487732.32421875,FALSE,97,No,AMOR
GS14_GC08_340,GS14_GC08_63,340,5,3659850.78125,1063.2979393,3660914.0791893,FALSE,97,No,AMOR
GS14_GC09_10,GS14_GC09_64,10,6,220897188.013136,595115.664126642,221492303.677263,FALSE,85,No,AMOR
GS14_GC09_20,GS14_GC09_65,20,6,64377624.5551601,105978.802627799,64483603.3577879,FALSE,85,No,AMOR
GS14_GC09_28,GS14_GC09_66,28,6,715812048.192771,2255415.93457162,718067464.127343,FALSE,85,No,AMOR
GS14_GC09_30,GS14_GC09_67,30,6,346911458.333333,1099059.47730655,348010517.81064,FALSE,85,No,AMOR
GS14_GC09_40,GS14_GC09_68,40,6,804352415.458937,1038434.81091486,805390850.269852,FALSE,85,No,AMOR
GS14_GC09_50,GS14_GC09_69,50,6,201053007.152146,292623.937083469,201345631.08923,FALSE,85,No,AMOR
GS14_GC09_75,GS14_GC09_70,75,6,72876251.5451174,88619.8178209981,72964871.3629384,FALSE,85,No,AMOR
GS14_GC09_100,GS14_GC09_71,100,6,61967254.0838068,122236.182472923,62089490.2662797,FALSE,85,No,AMOR
GS14_GC09_130,GS14_GC09_72,130,6,535519562.647754,50366.4302600473,535569929.078014,FALSE,85,No,AMOR
GS14_GC09_160,GS14_GC09_73,160,6,52487028.1339031,147649.572649573,52634677.7065527,FALSE,85,No,AMOR
GS14_GC09_190,GS14_GC09_74,190,6,66402682.4421965,327737.726641528,66730420.168838,FALSE,85,No,AMOR
GS14_GC12_10,GS14_GC12_75,10,7,889187000,12600340.625,901787340.625,FALSE,36,Yes,AMOR
GS14_GC12_20,GS14_GC12_76,20,7,2982040800,15506693.75,2997547493.75,FALSE,36,Yes,AMOR
GS14_GC12_30,GS14_GC12_77,30,7,21853209600,8588348.4375,21861797948.4375,FALSE,36,Yes,AMOR
GS14_GC12_40,GS14_GC12_78,40,7,6877494400,24066053.125,6901560453.125,FALSE,36,Yes,AMOR
GS14_GC12_50,GS14_GC12_79,50,7,7402634400,22143353.125,7424777753.125,FALSE,36,Yes,AMOR
GS14_GC12_75,GS14_GC12_80,75,7,6316440000,5166975,6321606975,FALSE,36,Yes,AMOR
GS14_GC12_100,GS14_GC12_81,100,7,5950627200,3163515.625,5953790715.625,FALSE,36,Yes,AMOR
GS14_GC12_130,GS14_GC12_82,130,7,338342675,876771.2890625,339219446.289063,FALSE,36,Yes,AMOR
GS14_GC12_160,GS14_GC12_83,160,7,140306675,371708.569335938,140678383.569336,FALSE,36,Yes,AMOR
GS14_GC12_175,GS14_GC12_84,175,7,192580550,727635.44921875,193308185.449219,FALSE,36,Yes,AMOR
