"","ROOT","MAIN.GENOME","DOMAIN","KINGDOM","SUPER.PHYLUM","PHYLUM","CLASS","ORDER","FAMILY","GENUS","SPECIES"
"OTU_4572","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," WOR-1","Unclassified_WOR-1","Unclassified_WOR-1","Unclassified_WOR-1","Unclassified_WOR-1","Unclassified_WOR-1","Unclassified_WOR-1"
"OTU_4573","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Terrabacteria"," Chloroflexi"," Dehalococcoidia","Unclassified_Dehalococcoidia","Unclassified_Dehalococcoidia","Unclassified_Dehalococcoidia","Unclassified_Dehalococcoidia"
"OTU_4574","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," PVC group (Planctobacteria)"," Planctomycetota"," Phycisphaerae"," MSBL9"," SG8-4","Unclassified_SG8-4","Unclassified_SG8-4"
"OTU_4575","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," PVC group (Planctobacteria)"," Planctomycetota"," Planctomycetes"," Pirellulales"," Pirellulaceae"," Pir4 lineage","Unclassified_Pir4 lineage"
"OTU_4576","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Dependentiae superphylum"," Dependentiae"," Babeliae"," Babeliales","Unclassified_Babeliales","Unclassified_Babeliales","Unclassified_Babeliales"
"OTU_4577","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," PVC group (Planctobacteria)"," Verrucomicrobiota"," Chlamydiae"," Chlamydiales","Unclassified_Chlamydiales","Unclassified_Chlamydiales","Unclassified_Chlamydiales"
"OTU_4578","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," PVC group (Planctobacteria)"," Planctomycetota"," Phycisphaerae"," MSBL9"," SG8-4","Unclassified_SG8-4","Unclassified_SG8-4"
"OTU_4579","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Proteobacteria superphylum"," Proteobacteria"," Gammaproteobacteria"," Arenicellales"," Arenicellaceae","Unclassified_Arenicellaceae","Unclassified_Arenicellaceae"
"OTU_458","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Terrabacteria"," Chloroflexi"," JG30-KF-CM66","Unclassified_JG30-KF-CM66","Unclassified_JG30-KF-CM66","Unclassified_JG30-KF-CM66","Unclassified_JG30-KF-CM66"
"OTU_4580","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Terrabacteria"," Chloroflexi"," Dehalococcoidia"," Sh765B-AG-111","Unclassified_Sh765B-AG-111","Unclassified_Sh765B-AG-111","Unclassified_Sh765B-AG-111"
"OTU_4581","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Terrabacteria"," Actinobacteriota"," Acidimicrobiia"," Microtrichales"," Ilumatobacteraceae","Unclassified_Ilumatobacteraceae","Unclassified_Ilumatobacteraceae"
"OTU_4582","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," PVC group (Planctobacteria)"," Planctomycetota"," Planctomycetes"," Pirellulales"," Pirellulaceae","Unclassified_Pirellulaceae","Unclassified_Pirellulaceae"
"OTU_4583","root"," Main genome"," Bacteria"," Bacteria (superkingdom)","Unclassified_Bacteria (superkingdom)","Unclassified_Bacteria (superkingdom)","Unclassified_Bacteria (superkingdom)","Unclassified_Bacteria (superkingdom)","Unclassified_Bacteria (superkingdom)","Unclassified_Bacteria (superkingdom)","Unclassified_Bacteria (superkingdom)"
"OTU_4585","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Proteobacteria superphylum"," Proteobacteria"," Gammaproteobacteria"," Candidatus Ovatusbacter order incertae sedis"," Candidatus Ovatusbacter family incertae sedis"," Candidatus Ovatusbacter","Unclassified_Candidatus Ovatusbacter"
"OTU_4586","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Proteobacteria superphylum"," Proteobacteria"," Gammaproteobacteria"," Milano-WF1B-44","Unclassified_Milano-WF1B-44","Unclassified_Milano-WF1B-44","Unclassified_Milano-WF1B-44"
"OTU_4587","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Terrabacteria"," Actinobacteriota"," Thermoleophilia"," Solirubrobacterales"," 67-14","Unclassified_67-14","Unclassified_67-14"
"OTU_4588","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Terrabacteria"," Actinobacteriota"," Thermoleophilia"," Solirubrobacterales"," 67-14","Unclassified_67-14","Unclassified_67-14"
"OTU_4589","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," PVC group (Planctobacteria)"," Planctomycetota"," Phycisphaerae"," Phycisphaerales"," AKAU3564 sediment group","Unclassified_AKAU3564 sediment group","Unclassified_AKAU3564 sediment group"
"OTU_459","root"," Main genome"," Archaea"," Archaea (superkingdom)","Unclassified_Archaea (superkingdom)","Unclassified_Archaea (superkingdom)","Unclassified_Archaea (superkingdom)","Unclassified_Archaea (superkingdom)","Unclassified_Archaea (superkingdom)","Unclassified_Archaea (superkingdom)","Unclassified_Archaea (superkingdom)"
"OTU_4590","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Terrabacteria"," Firmicutes"," Bacilli"," Bacillales"," Bacillaceae"," Pseudogracilibacillus","Unclassified_Pseudogracilibacillus"
"OTU_4591","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Terrabacteria"," Firmicutes"," Clostridia"," Oscillospirales"," Ruminococcaceae"," Ruminococcus","Unclassified_Ruminococcus"
"OTU_4592","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," FCB group"," Bacteroidota"," Bacteroidia"," Sphingobacteriales"," Lentimicrobiaceae","Unclassified_Lentimicrobiaceae","Unclassified_Lentimicrobiaceae"
"OTU_4593","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Terrabacteria"," Chloroflexi"," Dehalococcoidia","Unclassified_Dehalococcoidia","Unclassified_Dehalococcoidia","Unclassified_Dehalococcoidia","Unclassified_Dehalococcoidia"
"OTU_4594","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," PVC group (Planctobacteria)"," Planctomycetota"," Phycisphaerae"," DG-20","Unclassified_DG-20","Unclassified_DG-20","Unclassified_DG-20"
"OTU_4595","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," PVC group (Planctobacteria)"," Planctomycetota"," SPG12-343-353-B69","Unclassified_SPG12-343-353-B69","Unclassified_SPG12-343-353-B69","Unclassified_SPG12-343-353-B69","Unclassified_SPG12-343-353-B69"
"OTU_4596","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Terrabacteria"," Chloroflexi"," Dehalococcoidia","Unclassified_Dehalococcoidia","Unclassified_Dehalococcoidia","Unclassified_Dehalococcoidia","Unclassified_Dehalococcoidia"
"OTU_4597","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," FCB group"," Bacteroidota"," Rhodothermia"," Rhodothermales"," Rhodothermaceae","Unclassified_Rhodothermaceae","Unclassified_Rhodothermaceae"
"OTU_4599","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Terrabacteria"," Actinobacteriota"," Thermoleophilia"," Gaiellales","Unclassified_Gaiellales","Unclassified_Gaiellales","Unclassified_Gaiellales"
"OTU_46","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Terrabacteria"," Chloroflexi"," Dehalococcoidia"," Napoli-4B-65","Unclassified_Napoli-4B-65","Unclassified_Napoli-4B-65","Unclassified_Napoli-4B-65"
"OTU_460","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," FCB group"," Gemmatimonadota"," Gemmatimonadetes"," Gemmatimonadales","Unclassified_Gemmatimonadales","Unclassified_Gemmatimonadales","Unclassified_Gemmatimonadales"
"OTU_4600","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," FCB group"," Bacteroidota"," Bacteroidia"," Sphingobacteriales"," Lentimicrobiaceae"," Lentimicrobium","Unclassified_Lentimicrobium"
"OTU_4601","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Terrabacteria"," Chloroflexi"," Anaerolineae"," SBR1031","Unclassified_SBR1031","Unclassified_SBR1031","Unclassified_SBR1031"
"OTU_4602","root"," Main genome"," Archaea"," Archaea (superkingdom)"," Euryarchaea sensu lato superphylum"," Halobacterota"," Methanosarcinia"," Methanosarciniales"," Methanoperedenaceae","Unclassified_Methanoperedenaceae","Unclassified_Methanoperedenaceae"
"OTU_4603","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," FCB group"," Bacteroidota"," Bacteroidia"," Flavobacteriales"," NS9 marine group","Unclassified_NS9 marine group","Unclassified_NS9 marine group"
"OTU_4604","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Terrabacteria"," Actinobacteriota"," Actinobacteria"," Corynebacteriales"," Mycobacteriaceae"," Mycobacterium","Unclassified_Mycobacterium"
"OTU_4605","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," FCB group"," Bacteroidota"," Bacteroidia"," Flavobacteriales"," Cryomorphaceae"," Vicingus","Unclassified_Vicingus"
"OTU_4606","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Proteobacteria superphylum","Unclassified_Proteobacteria superphylum","Unclassified_Proteobacteria superphylum","Unclassified_Proteobacteria superphylum","Unclassified_Proteobacteria superphylum","Unclassified_Proteobacteria superphylum","Unclassified_Proteobacteria superphylum"
"OTU_4607","root"," Main genome"," Archaea"," Archaea (superkingdom)"," Euryarchaea sensu lato superphylum"," Thermoplasmatota"," Thermoplasmata"," Marine Group II","Unclassified_Marine Group II","Unclassified_Marine Group II","Unclassified_Marine Group II"
"OTU_4609","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Dependentiae superphylum"," Dependentiae"," Babeliae"," Babeliales"," Vermiphilaceae","Unclassified_Vermiphilaceae","Unclassified_Vermiphilaceae"
"OTU_461","root"," Main genome"," Archaea"," Archaea (superkingdom)"," TACK"," Thaumarchaeota"," Nitrososphaeria"," Nitrosopumilales"," Nitrosopumilaceae","Unclassified_Nitrosopumilaceae","Unclassified_Nitrosopumilaceae"
"OTU_4610","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Terrabacteria"," Chloroflexi"," Anaerolineae"," Anaerolineales"," Anaerolineaceae","Unclassified_Anaerolineaceae","Unclassified_Anaerolineaceae"
"OTU_4611","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," FCB group"," Bacteroidota"," Bacteroidia"," Flavobacteriales"," Crocinitomicaceae"," Fluviicola","Unclassified_Fluviicola"
"OTU_4612","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Proteobacteria superphylum"," Proteobacteria"," Gammaproteobacteria"," Pseudomonadales"," Pseudohongiellaceae","Unclassified_Pseudohongiellaceae","Unclassified_Pseudohongiellaceae"
"OTU_4613","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," PVC group (Planctobacteria)"," Planctomycetota"," Phycisphaerae"," MSBL9"," SM23-30","Unclassified_SM23-30","Unclassified_SM23-30"
"OTU_4614","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," FCB group"," Bacteroidota"," Bacteroidia"," Cytophagales"," Cyclobacteriaceae","Unclassified_Cyclobacteriaceae","Unclassified_Cyclobacteriaceae"
"OTU_4615","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Proteobacteria superphylum"," Proteobacteria"," Alphaproteobacteria"," Rhizobiales"," Methyloligellaceae","Unclassified_Methyloligellaceae","Unclassified_Methyloligellaceae"
"OTU_4616","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Terrabacteria"," Actinobacteriota"," Thermoleophilia"," Solirubrobacterales"," 67-14","Unclassified_67-14","Unclassified_67-14"
"OTU_4617","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Proteobacteria superphylum"," unclassified","Unclassified_unclassified","Unclassified_unclassified","Unclassified_unclassified","Unclassified_unclassified","Unclassified_unclassified"
"OTU_4618","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Terrabacteria"," Firmicutes"," Bacilli"," Izemoplasmatales","Unclassified_Izemoplasmatales","Unclassified_Izemoplasmatales","Unclassified_Izemoplasmatales"
"OTU_462","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Terrabacteria"," Chloroflexi"," JG30-KF-CM66","Unclassified_JG30-KF-CM66","Unclassified_JG30-KF-CM66","Unclassified_JG30-KF-CM66","Unclassified_JG30-KF-CM66"
"OTU_4620","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Dependentiae superphylum"," Dependentiae"," Babeliae"," Babeliales"," UBA12409","Unclassified_UBA12409","Unclassified_UBA12409"
"OTU_4621","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Proteobacteria superphylum"," NB1-j","Unclassified_NB1-j","Unclassified_NB1-j","Unclassified_NB1-j","Unclassified_NB1-j","Unclassified_NB1-j"
"OTU_4622","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Proteobacteria superphylum"," NB1-j","Unclassified_NB1-j","Unclassified_NB1-j","Unclassified_NB1-j","Unclassified_NB1-j","Unclassified_NB1-j"
"OTU_4623","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Nitrospirae superphylum"," Nitrospirota"," Nitrospiria"," Nitrospirales","Unclassified_Nitrospirales","Unclassified_Nitrospirales","Unclassified_Nitrospirales"
"OTU_4624","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Dependentiae superphylum"," Dependentiae"," Babeliae"," Babeliales","Unclassified_Babeliales","Unclassified_Babeliales","Unclassified_Babeliales"
"OTU_4625","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," PVC group (Planctobacteria)"," Planctomycetota"," Pla3 lineage","Unclassified_Pla3 lineage","Unclassified_Pla3 lineage","Unclassified_Pla3 lineage","Unclassified_Pla3 lineage"
"OTU_4626","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Dependentiae superphylum"," Dependentiae"," Babeliae"," Babeliales"," Vermiphilaceae","Unclassified_Vermiphilaceae","Unclassified_Vermiphilaceae"
"OTU_4627","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," PVC group (Planctobacteria)"," Verrucomicrobiota"," Lentisphaeria"," SS1-B-02-17","Unclassified_SS1-B-02-17","Unclassified_SS1-B-02-17","Unclassified_SS1-B-02-17"
"OTU_4628","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," WOR-1","Unclassified_WOR-1","Unclassified_WOR-1","Unclassified_WOR-1","Unclassified_WOR-1","Unclassified_WOR-1","Unclassified_WOR-1"
"OTU_4629","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," PVC group (Planctobacteria)"," Planctomycetota"," Phycisphaerae"," Phycisphaerales","Unclassified_Phycisphaerales","Unclassified_Phycisphaerales","Unclassified_Phycisphaerales"
"OTU_463","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Terrabacteria"," WS1","Unclassified_WS1","Unclassified_WS1","Unclassified_WS1","Unclassified_WS1","Unclassified_WS1"
"OTU_4630","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," WS2","Unclassified_WS2","Unclassified_WS2","Unclassified_WS2","Unclassified_WS2","Unclassified_WS2","Unclassified_WS2"
"OTU_4631","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Proteobacteria superphylum"," Proteobacteria"," Gammaproteobacteria","Unclassified_Gammaproteobacteria","Unclassified_Gammaproteobacteria","Unclassified_Gammaproteobacteria","Unclassified_Gammaproteobacteria"
"OTU_4632","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Proteobacteria superphylum"," Myxococcota"," Myxococcia"," Myxococcales","Unclassified_Myxococcales","Unclassified_Myxococcales","Unclassified_Myxococcales"
"OTU_4633","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Terrabacteria"," Chloroflexi"," Dehalococcoidia","Unclassified_Dehalococcoidia","Unclassified_Dehalococcoidia","Unclassified_Dehalococcoidia","Unclassified_Dehalococcoidia"
"OTU_4634","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," PVC group (Planctobacteria)"," Verrucomicrobiota"," Chlamydiae","Unclassified_Chlamydiae","Unclassified_Chlamydiae","Unclassified_Chlamydiae","Unclassified_Chlamydiae"
"OTU_4635","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Terrabacteria"," Chloroflexi"," Dehalococcoidia","Unclassified_Dehalococcoidia","Unclassified_Dehalococcoidia","Unclassified_Dehalococcoidia","Unclassified_Dehalococcoidia"
"OTU_4636","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Terrabacteria"," Chloroflexi"," Dehalococcoidia","Unclassified_Dehalococcoidia","Unclassified_Dehalococcoidia","Unclassified_Dehalococcoidia","Unclassified_Dehalococcoidia"
"OTU_4637","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Dependentiae superphylum"," Dependentiae"," Babeliae"," Babeliales","Unclassified_Babeliales","Unclassified_Babeliales","Unclassified_Babeliales"
"OTU_4638","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Terrabacteria"," Parcubacteria"," Candidatus Yanofskybacteria","Unclassified_Candidatus Yanofskybacteria","Unclassified_Candidatus Yanofskybacteria","Unclassified_Candidatus Yanofskybacteria","Unclassified_Candidatus Yanofskybacteria"
"OTU_4639","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Terrabacteria"," WWE3","Unclassified_WWE3","Unclassified_WWE3","Unclassified_WWE3","Unclassified_WWE3","Unclassified_WWE3"
"OTU_464","root"," Main genome"," Archaea"," Archaea (superkingdom)"," DPANN"," Nanoarchaeota"," Nanoarchaeia"," Woesearchaeales","Unclassified_Woesearchaeales","Unclassified_Woesearchaeales","Unclassified_Woesearchaeales"
"OTU_4640","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," PVC group (Planctobacteria)"," Verrucomicrobiota"," Omnitrophia"," Omnitrophales","Unclassified_Omnitrophales","Unclassified_Omnitrophales","Unclassified_Omnitrophales"
"OTU_4641","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," PVC group (Planctobacteria)"," Planctomycetota"," Phycisphaerae"," MSBL9"," SG8-4","Unclassified_SG8-4","Unclassified_SG8-4"
"OTU_4642","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Terrabacteria"," Chloroflexi"," Dehalococcoidia","Unclassified_Dehalococcoidia","Unclassified_Dehalococcoidia","Unclassified_Dehalococcoidia","Unclassified_Dehalococcoidia"
"OTU_4643","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," PVC group (Planctobacteria)"," Planctomycetota"," Phycisphaerae"," C86","Unclassified_C86","Unclassified_C86","Unclassified_C86"
"OTU_4644","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Proteobacteria superphylum"," unclassified","Unclassified_unclassified","Unclassified_unclassified","Unclassified_unclassified","Unclassified_unclassified","Unclassified_unclassified"
"OTU_4645","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Terrabacteria"," Chloroflexi"," Dehalococcoidia"," Sh765B-AG-111","Unclassified_Sh765B-AG-111","Unclassified_Sh765B-AG-111","Unclassified_Sh765B-AG-111"
"OTU_4646","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," FCB group"," Bacteroidota"," Bacteroidia","Unclassified_Bacteroidia","Unclassified_Bacteroidia","Unclassified_Bacteroidia","Unclassified_Bacteroidia"
"OTU_4647","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," PVC group (Planctobacteria)"," Verrucomicrobiota"," Omnitrophia"," Omnitrophales"," Omnitrophaceae"," Candidatus Omnitrophus","Unclassified_Candidatus Omnitrophus"
"OTU_4649","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," PVC group (Planctobacteria)"," Planctomycetota"," Phycisphaerae"," CCM11a","Unclassified_CCM11a","Unclassified_CCM11a","Unclassified_CCM11a"
"OTU_465","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Terrabacteria"," Chloroflexi"," Anaerolineae"," Anaerolineales","Unclassified_Anaerolineales","Unclassified_Anaerolineales","Unclassified_Anaerolineales"
"OTU_4650","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Terrabacteria"," Actinobacteriota"," Coriobacteriia"," FS118-23B-02","Unclassified_FS118-23B-02","Unclassified_FS118-23B-02","Unclassified_FS118-23B-02"
"OTU_4651","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," PVC group (Planctobacteria)"," Verrucomicrobiota"," Chlamydiae"," Chlamydiales","Unclassified_Chlamydiales","Unclassified_Chlamydiales","Unclassified_Chlamydiales"
"OTU_4652","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," PVC group (Planctobacteria)"," Verrucomicrobiota"," Omnitrophia","Unclassified_Omnitrophia","Unclassified_Omnitrophia","Unclassified_Omnitrophia","Unclassified_Omnitrophia"
"OTU_4653","root"," Main genome"," Archaea"," Archaea (superkingdom)"," Euryarchaea sensu lato superphylum"," Halobacterota"," Methanosarcinia"," Methanosarciniales"," ANME-2a-2b","Unclassified_ANME-2a-2b","Unclassified_ANME-2a-2b"
"OTU_4655","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," FCB group"," Bacteroidota"," Bacteroidia"," Bacteroidales"," Tannerellaceae"," Macellibacteroides","Unclassified_Macellibacteroides"
"OTU_4656","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Terrabacteria"," Actinobacteriota"," Thermoleophilia"," Gaiellales","Unclassified_Gaiellales","Unclassified_Gaiellales","Unclassified_Gaiellales"
"OTU_4657","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Proteobacteria superphylum"," Proteobacteria"," Alphaproteobacteria"," Sphingomonadales"," Sphingomonadaceae","Unclassified_Sphingomonadaceae","Unclassified_Sphingomonadaceae"
"OTU_4658","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Terrabacteria"," Chloroflexi"," Dehalococcoidia"," DscP2","Unclassified_DscP2","Unclassified_DscP2","Unclassified_DscP2"
"OTU_4659","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Terrabacteria"," Chloroflexi"," Dehalococcoidia"," Sh765B-AG-111","Unclassified_Sh765B-AG-111","Unclassified_Sh765B-AG-111","Unclassified_Sh765B-AG-111"
"OTU_466","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Terrabacteria"," Chloroflexi"," Dehalococcoidia"," GIF9","Unclassified_GIF9","Unclassified_GIF9","Unclassified_GIF9"
"OTU_4660","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," FCB group"," Fibrobacterota"," Fibrobacteria"," Fibrobacterales"," Fibrobacteraceae","Unclassified_Fibrobacteraceae","Unclassified_Fibrobacteraceae"
"OTU_4661","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Dependentiae superphylum"," Dependentiae"," Babeliae"," Babeliales","Unclassified_Babeliales","Unclassified_Babeliales","Unclassified_Babeliales"
"OTU_4662","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Proteobacteria superphylum"," Proteobacteria"," Gammaproteobacteria"," Legionellales","Unclassified_Legionellales","Unclassified_Legionellales","Unclassified_Legionellales"
"OTU_4663","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," PVC group (Planctobacteria)"," Planctomycetota"," Phycisphaerae"," MSBL9"," SG8-4","Unclassified_SG8-4","Unclassified_SG8-4"
"OTU_4664","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," BHI80-139","Unclassified_BHI80-139","Unclassified_BHI80-139","Unclassified_BHI80-139","Unclassified_BHI80-139","Unclassified_BHI80-139","Unclassified_BHI80-139"
"OTU_4665","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," PVC group (Planctobacteria)"," Planctomycetota"," Brocadiae"," SM23-32","Unclassified_SM23-32","Unclassified_SM23-32","Unclassified_SM23-32"
"OTU_4666","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," PVC group (Planctobacteria)"," Planctomycetota"," Pla4 lineage","Unclassified_Pla4 lineage","Unclassified_Pla4 lineage","Unclassified_Pla4 lineage","Unclassified_Pla4 lineage"
"OTU_4667","root"," Main genome"," Archaea"," Archaea (superkingdom)"," DPANN"," Nanoarchaeota","Unclassified_Nanoarchaeota","Unclassified_Nanoarchaeota","Unclassified_Nanoarchaeota","Unclassified_Nanoarchaeota","Unclassified_Nanoarchaeota"
"OTU_4668","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Terrabacteria"," Chloroflexi"," Dehalococcoidia"," DscP2","Unclassified_DscP2","Unclassified_DscP2","Unclassified_DscP2"
"OTU_4669","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," FCB group"," Zixibacteria","Unclassified_Zixibacteria","Unclassified_Zixibacteria","Unclassified_Zixibacteria","Unclassified_Zixibacteria","Unclassified_Zixibacteria"
"OTU_467","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Terrabacteria"," Actinobacteriota"," Thermoleophilia"," Solirubrobacterales"," 67-14","Unclassified_67-14","Unclassified_67-14"
"OTU_4670","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," PVC group (Planctobacteria)"," Planctomycetota","Unclassified_Planctomycetota","Unclassified_Planctomycetota","Unclassified_Planctomycetota","Unclassified_Planctomycetota","Unclassified_Planctomycetota"
"OTU_4671","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Terrabacteria"," Chloroflexi"," Dehalococcoidia","Unclassified_Dehalococcoidia","Unclassified_Dehalococcoidia","Unclassified_Dehalococcoidia","Unclassified_Dehalococcoidia"
"OTU_4672","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," PVC group (Planctobacteria)"," Verrucomicrobiota"," Chlamydiae"," LD1-PA32","Unclassified_LD1-PA32","Unclassified_LD1-PA32","Unclassified_LD1-PA32"
"OTU_4673","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Dependentiae superphylum"," Dependentiae"," Babeliae"," Babeliales"," Babeliaceae","Unclassified_Babeliaceae","Unclassified_Babeliaceae"
"OTU_4674","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Terrabacteria"," Chloroflexi"," Anaerolineae"," Anaerolineales","Unclassified_Anaerolineales","Unclassified_Anaerolineales","Unclassified_Anaerolineales"
"OTU_4675","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Terrabacteria"," Chloroflexi"," Dehalococcoidia"," GIF3","Unclassified_GIF3","Unclassified_GIF3","Unclassified_GIF3"
"OTU_4677","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," FCB group"," Bacteroidota"," Bacteroidia"," Flavobacteriales"," Cryomorphaceae","Unclassified_Cryomorphaceae","Unclassified_Cryomorphaceae"
"OTU_4678","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," FCB group"," Bacteroidota"," Bacteroidia"," Cytophagales"," Cyclobacteriaceae","Unclassified_Cyclobacteriaceae","Unclassified_Cyclobacteriaceae"
"OTU_4679","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," PVC group (Planctobacteria)"," Verrucomicrobiota"," Verrucomicrobiae"," Opitutales"," Puniceicoccaceae"," Coraliomargarita","Unclassified_Coraliomargarita"
"OTU_468","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," PVC group (Planctobacteria)"," Verrucomicrobiota"," Verrucomicrobiae"," Verrucomicrobiales"," Rubritaleaceae"," Luteolibacter","Unclassified_Luteolibacter"
"OTU_4680","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Proteobacteria superphylum"," Desulfobacterota","Unclassified_Desulfobacterota","Unclassified_Desulfobacterota","Unclassified_Desulfobacterota","Unclassified_Desulfobacterota","Unclassified_Desulfobacterota"
"OTU_4681","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," PVC group (Planctobacteria)"," Planctomycetota"," Phycisphaerae"," MSBL9"," SG8-4","Unclassified_SG8-4","Unclassified_SG8-4"
