"","ROOT","MAIN.GENOME","DOMAIN","KINGDOM","SUPER.PHYLUM","PHYLUM","CLASS","ORDER","FAMILY","GENUS","SPECIES"
"OTU_3647","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," FCB group"," Bacteroidota"," Bacteroidia"," Bacteroidales"," Prevotellaceae"," Alloprevotella","Unclassified_Alloprevotella"
"OTU_3648","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," PVC group (Planctobacteria)"," Planctomycetota"," Phycisphaerae"," MSBL9"," SG8-4","Unclassified_SG8-4","Unclassified_SG8-4"
"OTU_3649","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," PVC group (Planctobacteria)"," Planctomycetota","Unclassified_Planctomycetota","Unclassified_Planctomycetota","Unclassified_Planctomycetota","Unclassified_Planctomycetota","Unclassified_Planctomycetota"
"OTU_365","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Proteobacteria superphylum"," Proteobacteria"," Alphaproteobacteria"," Rhodobacterales"," Rhodobacteraceae","Unclassified_Rhodobacteraceae","Unclassified_Rhodobacteraceae"
"OTU_3650","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," PVC group (Planctobacteria)"," Planctomycetota"," Phycisphaerae"," MSBL9"," SG8-4","Unclassified_SG8-4","Unclassified_SG8-4"
"OTU_3651","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Proteobacteria superphylum"," Proteobacteria"," Gammaproteobacteria"," Xanthomonadales"," Rhodanobacteraceae"," Dokdonella","Unclassified_Dokdonella"
"OTU_3652","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Terrabacteria"," Actinobacteriota"," Actinobacteria"," Micrococcales"," Intrasporangiaceae"," Ornithinimicrobium","Unclassified_Ornithinimicrobium"
"OTU_3653","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Terrabacteria"," Chloroflexi"," Anaerolineae"," Anaerolineales"," Anaerolineaceae","Unclassified_Anaerolineaceae","Unclassified_Anaerolineaceae"
"OTU_3654","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Acidobacteria superphylum"," Acidobacteriota"," Acidobacteriae"," Acidobacteriales"," Acidobacteriaceae (Subgroup 1)","Unclassified_Acidobacteriaceae (Subgroup 1)","Unclassified_Acidobacteriaceae (Subgroup 1)"
"OTU_3655","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," FCB group"," Bacteroidota"," Bacteroidia"," Cytophagales"," Hymenobacteraceae"," Hymenobacter","Unclassified_Hymenobacter"
