Name,Core,CruiseID,CoreID,Depth,Oxygen,NO3,NOx,NH4,Mn,Fe
GS14_GC12_130,GS14_GC12,GS14,GC12,130,NA,NA,NA,NA,NA,NA
GS14_GC12_143,GS14_GC12,GS14,GC12,143,0.0002,NA,NA,NA,NA,NA
GS14_GC12_158,GS14_GC12,GS14,GC12,158,NA,0,0,0.03294,0.2404473317457,0
GS14_GC12_160,GS14_GC12,GS14,GC12,160,0.0007,NA,NA,NA,NA,NA
GS14_GC12_175,GS14_GC12,GS14,GC12,175,NA,NA,NA,NA,NA,NA
GS14_GC12_180,GS14_GC12,GS14,GC12,180,0.0006,NA,NA,NA,NA,NA
GS14_GC12_186,GS14_GC12,GS14,GC12,186,NA,0,0,0.03091,0.1985838663515,0
GS14_GC12_190,GS14_GC12,GS14,GC12,190,NA,NA,NA,NA,NA,NA
GS14_GC12_200,GS14_GC12,GS14,GC12,200,0.0006,NA,NA,NA,NA,NA
GS14_GC12_216,GS14_GC12,GS14,GC12,216,NA,0,0,0.0301,0.1791662099209,0
GS14_GC12_220,GS14_GC12,GS14,GC12,220,0.0008,NA,NA,NA,NA,NA
GS14_GC12_240,GS14_GC12,GS14,GC12,240,0.0007,NA,NA,NA,NA,NA
GS14_GC12_248,GS14_GC12,GS14,GC12,248,NA,0,0,0.02735,0.1683837895131,0
GS14_GC12_250,GS14_GC12,GS14,GC12,250,NA,NA,NA,NA,NA,NA
GS14_GC12_260,GS14_GC12,GS14,GC12,260,0.0008,NA,NA,NA,NA,NA
GS14_GC12_276,GS14_GC12,GS14,GC12,276,NA,0,0,0.02435,0.1358534208982,0
GS14_GC12_280,GS14_GC12,GS14,GC12,280,0.0003,NA,NA,NA,NA,NA
GS14_GC12_297,GS14_GC12,GS14,GC12,297,0.0003,NA,NA,NA,NA,NA
GS14_GC12_307,GS14_GC12,GS14,GC12,307,NA,0,0,0.0199,0.0443792891931,0.00039373469891987
GS14_GC12_310,GS14_GC12,GS14,GC12,310,0.0004,NA,NA,NA,NA,NA
GS14_GC12_322,GS14_GC12,GS14,GC12,322,NA,0,0,0.01451,0.0672437786225,0.0142656148491023
GS14_GC12_330,GS14_GC12,GS14,GC12,330,0.0004,NA,NA,NA,NA,NA
GS14_GC12_337,GS14_GC12,GS14,GC12,337,NA,0,0,0.01033,0.0479238915305,0.0093114686747947
GS14_GC12_340,GS14_GC12,GS14,GC12,340,NA,NA,NA,NA,NA,NA
GS14_GC12_352,GS14_GC12,GS14,GC12,352,NA,0,0,0.00537,0.0296727107366,0.00276323490426811
GS14_GC12_357,GS14_GC12,GS14,GC12,357,NA,NA,NA,NA,NA,NA
GS14_GC12_358,GS14_GC12,GS14,GC12,358,NA,0,0,0.0053,0.0211206285721,0
GS14_GC12_360,GS14_GC12,GS14,GC12,360,NA,NA,NA,NA,NA,NA
GS14_GC14_5,GS14_GC14,GS14,GC14,5,NA,0.00216,0.00216,0.02946,0.00281281334427252,0
GS14_GC14_13,GS14_GC14,GS14,GC14,13,NA,0,0,0.05802,0.00163805668749035,0
GS14_GC14_19,GS14_GC14,GS14,GC14,19,NA,0,0,0.05709,0.00156034707709303,0
GS14_GC14_25,GS14_GC14,GS14,GC14,25,NA,0,0,0.0566,0.00147066829359937,0
GS14_GC14_35,GS14_GC14,GS14,GC14,35,NA,0,0,0.06807,0.00153063403813713,0
GS14_GC14_40,GS14_GC14,GS14,GC14,40,0,0,0,0.07722,0.00176221423225205,0
