"","IODP336_U1384A_3550","IODP336_U1384A_3120","IODP336_U1384A_5450","IODP336_U1384A_1240","IODP336_U1384A_650","IODP336_U1384A_420","IODP336_U1384A_250","IODP336_U1384A_2830","IODP336_U1384A_2520","IODP336_U1384A_2120","IODP336_U1384A_1680","IODP336_U1384A_6450","IODP336_U1384A_6930","IODP336_U1384A_6000","IODP336_U1384A_3880","IODP336_U1384A_4040","IODP336_U1384A_4680","IODP336_U1384A_8690","IODP336_U1384A_5100","IODP336_U1383E_3050","IODP336_U1383E_3370","IODP336_U1383E_2750","IODP336_U1383E_2900","IODP336_U1383E_4250","IODP336_U1383E_4680","IODP336_U1383E_3670","IODP336_U1383E_3970","IODP336_U1383E_4800","IODP336_U1384A_100","IODP336_U1384A_7440","IODP336_U1384A_7730","IODP336_U1384A_8390","IODP336_U1384A_9150","IODP336_U1383E_500","IODP336_U1383E_790","IODP336_U1383E_50","IODP336_U1383E_350","IODP336_U1383E_2040","IODP336_U1383E_2300","IODP336_U1383E_1090","IODP336_U1383E_1550","IODP336_U1383E_2450","IODP336_U1383E_2600"
"OTU_1075",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,4,0,0,0,0,0,0
"OTU_1076",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,43,0,0,0,0,0,0,0
"OTU_1077",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,2,0,0,0,0,0,0,0
"OTU_1078",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,6,0,0,0,0,0,0,0
"OTU_1079",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,1,0,0,0,0,0,0,0
"OTU_108",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,507,339,60,208,3,11,24,174,0,0,0,0,0,2,75,0,2,0,13,140,2,199,105
"OTU_1080",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,35,0,0,0,0
"OTU_1081",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,32,0,0,0,0,0,0,0
"OTU_1082",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0
"OTU_1083",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,24,0,0,0,0,0,0
"OTU_1084",0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,25,0,0,0,0,0,0,0
"OTU_1085",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,6,29,0
"OTU_1086",0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,3,0,0,0,0,0,0,0
"OTU_1087",0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0
